epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.740335,77.0000,5.641452,25.8571,1.00e-03
1,0.328272,89.6312,4.810112,30.7500,9.97e-04
2,0.231665,92.6750,4.664272,39.2893,9.89e-04
3,0.179784,94.2875,4.100192,43.4500,9.76e-04
4,0.134769,95.8250,4.037342,42.2500,9.57e-04
5,0.113889,96.4813,4.261126,43.0679,9.33e-04
6,0.092205,97.0812,4.350500,42.9000,9.05e-04
7,0.078945,97.5938,5.108771,40.3964,8.72e-04
8,0.072144,97.6063,4.888398,39.9321,8.35e-04
9,0.069068,97.8500,4.743285,41.5821,7.94e-04
10,0.054759,98.3563,6.806084,32.1500,7.50e-04
11,0.049027,98.4000,5.278044,41.2143,7.04e-04
12,0.050580,98.4062,4.819259,41.6393,6.55e-04
13,0.035948,98.8875,5.389213,36.3286,6.04e-04
14,0.032436,98.9250,4.919708,41.6714,5.53e-04
15,0.030899,99.0125,5.249720,39.1500,5.01e-04
16,0.030439,98.9750,4.769275,41.5321,4.48e-04
17,0.025523,99.2125,5.109291,38.6393,3.97e-04
18,0.021599,99.2875,5.516424,37.0679,3.46e-04
19,0.022365,99.2750,5.617248,38.7679,2.97e-04
20,0.017488,99.4313,5.198916,40.2286,2.51e-04
21,0.014932,99.4875,5.003212,40.6714,2.07e-04
22,0.014023,99.5750,4.789798,41.6714,1.66e-04
23,0.012481,99.5625,5.305826,38.9714,1.29e-04
24,0.010617,99.5875,5.154979,39.1179,9.64e-05
25,0.009497,99.6875,5.395953,38.2250,6.79e-05
26,0.009313,99.6937,5.166606,39.1821,4.42e-05
27,0.008592,99.7062,5.251040,39.2714,2.54e-05
28,0.007431,99.7875,5.249346,38.8643,1.19e-05
29,0.007877,99.7438,5.503814,38.0214,3.74e-06
