epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.283588,91.2500,2.683669,42.4643,1.00e-03
1,0.101706,97.0781,2.258132,48.7411,9.98e-04
2,0.057788,98.3047,2.174778,51.8438,9.94e-04
3,0.043436,98.6875,2.517352,50.8080,9.86e-04
4,0.034516,98.9688,2.537210,47.4375,9.76e-04
5,0.033550,99.0547,3.436280,46.3393,9.62e-04
6,0.032532,99.0938,2.403618,55.0223,9.46e-04
7,0.019975,99.3906,2.744735,52.3125,9.26e-04
8,0.022413,99.2812,2.504893,49.4286,9.05e-04
9,0.011082,99.6406,2.528345,52.9955,8.80e-04
10,0.010729,99.6953,2.687317,53.8170,8.54e-04
11,0.016215,99.4688,2.660369,50.2723,8.25e-04
12,0.018217,99.4297,2.958132,51.9107,7.94e-04
13,0.013066,99.5703,2.927932,48.6562,7.61e-04
14,0.015394,99.5078,2.766917,49.4554,7.27e-04
15,0.003960,99.8750,2.871075,53.2098,6.92e-04
16,0.004062,99.8984,2.749802,55.0402,6.55e-04
17,0.003911,99.8828,2.940448,53.4375,6.17e-04
18,0.002434,99.9531,2.863084,55.0982,5.79e-04
19,0.006821,99.7656,2.566915,55.2946,5.40e-04
20,0.004854,99.8672,3.032581,53.8973,5.00e-04
21,0.005541,99.8281,2.877994,54.6295,4.61e-04
22,0.001805,99.9453,3.396342,55.3393,4.22e-04
23,0.004054,99.9062,2.601021,55.8170,3.84e-04
24,0.000757,99.9922,2.919985,54.4420,3.46e-04
25,0.000717,99.9766,2.902993,56.1518,3.09e-04
26,0.000931,99.9844,3.235361,54.2723,2.74e-04
27,0.002135,99.9141,3.079375,55.0000,2.40e-04
28,0.000544,99.9922,2.986031,56.1518,2.07e-04
29,0.001067,99.9766,3.297976,54.4196,1.76e-04
30,0.000670,99.9922,3.106641,55.6741,1.47e-04
31,0.000242,100.0000,3.089128,56.1205,1.21e-04
32,0.000541,99.9688,2.948219,56.7946,9.64e-05
33,0.000236,99.9922,2.963765,56.8125,7.46e-05
34,0.000602,99.9844,2.882728,57.6071,5.54e-05
35,0.000458,99.9844,2.935201,57.4330,3.90e-05
36,0.000116,100.0000,2.934516,57.2589,2.54e-05
37,0.000266,100.0000,2.952044,57.4241,1.48e-05
38,0.000608,99.9922,3.023399,57.2723,7.15e-06
39,0.000107,100.0000,3.047452,56.9955,2.54e-06
