epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.800826,74.6953,4.188336,41.8750,1.00e-03
1,0.358385,88.4375,2.961495,54.9420,9.98e-04
2,0.253845,91.8750,5.011012,46.9643,9.94e-04
3,0.195688,93.9062,4.693043,49.5714,9.86e-04
4,0.157689,94.9062,3.250131,57.3884,9.76e-04
5,0.121429,96.2500,3.748555,54.1652,9.62e-04
6,0.110038,96.5859,4.164644,53.3348,9.46e-04
7,0.091253,96.9297,4.009486,51.7679,9.26e-04
8,0.084025,97.3359,4.628179,50.5938,9.05e-04
9,0.072541,97.7031,4.430439,54.2232,8.80e-04
10,0.059612,98.0234,4.167003,53.6339,8.54e-04
11,0.055279,98.2344,4.011362,54.2723,8.25e-04
12,0.054461,98.1328,3.395485,56.6786,7.94e-04
13,0.053139,98.2656,4.637329,51.9286,7.61e-04
14,0.046146,98.5156,5.032749,50.1116,7.27e-04
15,0.037310,98.8438,4.367117,54.4420,6.92e-04
16,0.032150,98.9922,4.574412,53.9643,6.55e-04
17,0.029607,99.1094,4.768407,53.8571,6.17e-04
18,0.029172,99.0469,4.121887,57.2545,5.79e-04
19,0.024143,99.2656,4.543854,55.0000,5.40e-04
20,0.022836,99.2344,4.657894,53.7545,5.00e-04
21,0.029242,99.0391,3.728630,56.3348,4.61e-04
22,0.021657,99.3359,4.332421,53.2321,4.22e-04
23,0.018939,99.3984,4.228746,53.9330,3.84e-04
24,0.014206,99.5547,3.918164,56.2723,3.46e-04
25,0.015429,99.5000,4.037496,54.4732,3.09e-04
26,0.012808,99.6562,3.933436,56.6964,2.74e-04
27,0.013879,99.5547,4.398911,53.2991,2.40e-04
28,0.011184,99.6250,4.444971,53.8482,2.07e-04
29,0.010734,99.6797,4.647350,53.5759,1.76e-04
30,0.009097,99.6875,4.662534,52.5670,1.47e-04
31,0.008033,99.7266,4.687195,52.6205,1.21e-04
32,0.007320,99.7969,4.622591,53.6741,9.64e-05
33,0.005187,99.8516,4.606076,53.2455,7.46e-05
34,0.006355,99.8125,4.663964,52.8348,5.54e-05
35,0.005710,99.8125,4.503192,53.6027,3.90e-05
36,0.005636,99.8125,4.680329,52.6920,2.54e-05
37,0.003693,99.8750,4.651024,52.9821,1.48e-05
38,0.005000,99.8438,4.540306,53.0312,7.15e-06
39,0.005112,99.8594,4.757142,52.7098,2.54e-06
